Ward name,Old code,New code,Population - 2015,Median Household income estimate (2012/13),% area that is open space - 2014
Islington - St. Peter's,00AUGM,E05000380,13200,43870,"10,4"
Islington - Tollington,00AUGN,E05000381,13900,38090,"13,3"
Kensington and Chelsea - Abingdon,00AWFY,E05000382,10700,54690,"5,9"
Kensington and Chelsea - Brompton,00AWFZ,E05000383,8900,64320,"10,8"
Kensington and Chelsea - Campden,00AWGA,E05000384,8250,65500,"27,8"
Kensington and Chelsea - Colville,00AWGB,E05000385,8400,43560,"10,5"
Kensington and Chelsea - Courtfield,00AWGC,E05000386,9100,61810,"13,4"
Kensington and Chelsea - Cremorne,00AWGD,E05000387,8250,43920,"29,3"
Kensington and Chelsea - Earl's Court,00AWGE,E05000388,9300,44100,10
Kensington and Chelsea - Golborne,00AWGF,E05000389,9600,30100,"34,6"
Kensington and Chelsea - Hans Town,00AWGG,E05000390,8850,58100,"8,5"
Kensington and Chelsea - Holland,00AWGH,E05000391,9850,54770,"27,7"
Kensington and Chelsea - Norland,00AWGJ,E05000392,8750,53430,"15,4"
Kensington and Chelsea - Notting Barns,00AWGK,E05000393,9750,36690,"9,3"
Kensington and Chelsea - Pembridge,00AWGL,E05000394,7700,55710,"11,9"
Kensington and Chelsea - Queen's Gate,00AWGM,E05000395,9950,63630,"5,8"
Kensington and Chelsea - Redcliffe,00AWGN,E05000396,9300,54550,"28,1"
Kensington and Chelsea - Royal Hospital,00AWGP,E05000397,7350,60600,"43,1"
Kensington and Chelsea - St. Charles,00AWGQ,E05000398,9600,36100,"21,9"
Kensington and Chelsea - Stanley,00AWGR,E05000399,8250,54990,"9,1"
Kingston upon Thames - Alexandra,00AXFX,E05000400,9700,41390,"43,7"
Kingston upon Thames - Berrylands,00AXFY,E05000401,9800,42330,"10,9"
Kingston upon Thames - Beverley,00AXFZ,E05000402,10450,40700,"26,4"
Kingston upon Thames - Canbury,00AXGA,E05000403,13300,45600,7
Kingston upon Thames - Chessington North and Hook,00AXGB,E05000404,9000,37230,"27,5"
Kingston upon Thames - Chessington South,00AXGC,E05000405,10550,38310,"75,7"
Kingston upon Thames - Coombe Hill,00AXGD,E05000406,10750,45650,"42,1"
Kingston upon Thames - Coombe Vale,00AXGE,E05000407,10050,44320,11
Kingston upon Thames - Grove,00AXGF,E05000408,11800,41410,"23,6"
Kingston upon Thames - Norbiton,00AXGG,E05000409,10600,34650,"34,5"
Kingston upon Thames - Old Malden,00AXGH,E05000410,9700,41760,"21,3"
Kingston upon Thames - St. James,00AXGJ,E05000411,9250,41850,"28,2"
Kingston upon Thames - St. Mark's,00AXGK,E05000412,10900,44930,"23,9"
